城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
沈阳,2024-01,二手住宅,全部,99.3,94.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,新建商品住宅,90m2及以下,99.4,98.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,新建商品住宅,90-144m2,99.4,98.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,新建商品住宅,144m2以上,99.8,98.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,二手住宅,90m2及以下,99.2,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,二手住宅,90-144m2,99.1,94.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
沈阳,2024-01,二手住宅,144m2以上,99.8,94.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,新建商品住宅,全部,100.1,96.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,二手住宅,全部,99.3,94.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,新建商品住宅,90m2及以下,100.2,95.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,新建商品住宅,90-144m2,100.0,96.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,新建商品住宅,144m2以上,100.4,95.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,二手住宅,90m2及以下,99.3,95.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
大连,2024-01,二手住宅,90-144m2,99.3,94.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
